brand,perfume,notes
18 21 Man Made,Sweet Tobacco Spirits,"citruses, saffron, tonka bean, vanilla, exotic fruits, red wine, musk, woodsy notes"
40 Notes Perfume,Cashmere Musk,"sandalwood, cedar, white musk, cashmere wood"
40 Notes Perfume,Exotic Ylang Ylang,"ylang-ylang, gardenia, musk"
40 Notes Perfume,Exquisite Amber,"labdanum, styrax, benzoin, vanilla, musk"
40 Notes Perfume,Oudwood Veil,"kephalis, agarwood (oud)"
40 Notes Perfume,Sampaquita Jasmine,"green notes, jasmine, tuberose, honeysuckle"
40 Notes Perfume,Spring Vetiver,"grapefruit, black currant, honeysuckle, orchid, vetiver, musk"
40 Notes Perfume,White Winter Flower,"orange blossom, neroli, white musk"
50 Cent,Power by 50 Cent,"woodsy notes, coriander, nutmeg, patchouli, oakmoss, musk, petitgrain, pepper, artemisia"
A Dozen Roses,Amber Queen,"damask rose, rose, amber, ginger, apricot, clementine"
A Dozen Roses,Angel Face,"peony, violet, jasmine, lilac, rose, patchouli, tonka bean, vetiver, black currant, apple"
A Dozen Roses,Electron,"musk, rose, tea, violet leaf, orchid"
A Dozen Roses,Gold Rush,"african orange flower, ylang-ylang, mexican chocolate, blackberry, spices, woodsy notes, ebony wood, rose"
A Dozen Roses,Iced White,"osmanthus, peony, primrose, rose, musk, vanille, "
A Dozen Roses,Shakespeare in Love,"jasmine, gardenia, rose, vanille, woodsy notes, pear"
A Lab on Fire,Almost Transparent Blue,"lime, yuzu, thyme, aldehydes, hinoki wood, cedar, musk"
A Lab on Fire,Eau d Ipanema,"orange blossom, water notes, jasmine, freesia, neroli, whipped cream, vanilla, musk, pineapple, bergamot, red berries, mango, pink pepper"
A Lab on Fire,L Anonyme ou OP 1475 A,"geranium, woodsy notes, amber, suede, bergamot"
A Lab on Fire,Liquidnight,"sage, lavender, hinoki wood, incense, vanilla, musk, bergamot, lime, saffron"
A Lab on Fire,Messy Sexy Just Rolled out of Bed,"turkish rose, heliotrope, musk, cashmere wood, toffee, amber, sandalwood, vanilla, tonka bean, bergamot, peach blossom"
A Lab on Fire,Oxymusc,"thyme, lavender, musk, birch, bourbon vanilla, lily-of-the-valley"
A Lab on Fire,Paris L A,"neroli, coriander, thyme, macarons, amber, musk, lime, ginger, coca-cola"
A Lab on Fire,Rose Rebelle,"rose, cacao"
A Lab on Fire,Rose Rebelle Respawn,"carnation, rose, musk, incense, cacao, ivy, mint"
A Lab on Fire,Sweet Dreams 2003,"jasmine, orange blossom, musk, amber, castoreum, petitgrain, neroli, bergamot"
A Lab on Fire,What We Do In Paris Is Secret,"vanille, heliotrope, rose, sandalwood, amber, tolu balsam, tonka bean, bergamot, white honey, litchi"
A Lab on Fire,Mon Musc a Moi,"turkish rose, heliotrope, musk, toffee, amber, white woods, vanilla, tonka bean, bergamot, peach blossom"
A Lab on Fire,One Night In Rio,"passionfruit, tiare flower, magnolia, musk, white amber, vanilla, black pepper, neroli"
A Perfume Organic,Green,"tincture of rose, tuber, chamomile, ylang-ylang, woodsy notes, spices"
A Perfume Organic,Mejica,"vanille, spices, resin"
A Perfume Organic,Perfumed Wine Ros,"granny smith apple, red berries, oak, spices"
A Perfume Organic,Urban Organic,"vetyver, ginger, amalfi lemon, lime, basil"
A Perfume Organic,White Magik,"white flowers, jasmine, angelica, sage"
A Wing A Prayer Perfumes,Big Sur,"oakmoss, tonka bean, rose, pink pepper, blackberry, lavender"
A Wing A Prayer Perfumes,Carmel,"oakmoss, juniper berries, sea notes"
A Wing A Prayer Perfumes,Filoli Rose,"rose, floral notes, watery notes"
A Wing A Prayer Perfumes,Haight Ashbury,"patchouli, labdanum, sandalwood, ambergris, beeswax, jasmine, rose, moroccan rose, wild rose, palisander rosewood, clary sage"
A Wing A Prayer Perfumes,HOLLY wOUD VINE,"violet leaf, jasmine sambac, neroli, galbanum, agarwood (oud), fir, mimosa, bitter orange, tomato leaf"
A Wing A Prayer Perfumes,Napa,"lavender, chamomile"
A Wing A Prayer Perfumes,Orange County,"orange, vanilla"
A Wing A Prayer Perfumes,Tahoe,"sandalwood, palisander rosewood"
A Wing A Prayer Perfumes,Azure Perfume,"galbanum, geranium, palmarosa, lemon verbena, lemongrass, lemon, bergamot, lime (linden) blossom, black currant"
A Wing A Prayer Perfumes,CHANG E Perfume,"amber, osmanthus, apricot, peach, neroli, virginia cedar"
A Wing A Prayer Perfumes,Dusk,"orange, vetiver, oakmoss"
A Wing A Prayer Perfumes,Jade,"lavender, jasmine sambac, lime (linden) blossom, rose geranium, lilac, bergamot"
A Wing A Prayer Perfumes,La Isla del Sol,"amber, orange blossom, bergamot, honey"
A Wing A Prayer Perfumes,Morning Mist,"amber, white ginger lily"
A Wing A Prayer Perfumes,SkyDancer,"osmanthus, saffron, iris, frangipani, amber, musk, sandalwood, saffron, cashmeran, virginia cedar, pink pepper, bergamot"
A Wing A Prayer Perfumes,Summer,"green tea, lemon"
A Wing A Prayer Perfumes,Summer Varies,"ylang-ylang, vanilla, olibanum, citruses"
A Wing A Prayer Perfumes,Verde Perfume,"jasmine sambac, rose, yuzu, galbanum, mint, bergamot, lemon, mimosa"
A Wing A Prayer Perfumes,Bellini Perfume Oil,"peach, peach blossom, musk, sandalwood, green tea, heliotrope, gardenia, jasmine, ylang-ylang, bergamot, rose, apricot, lily-of-the-valley"
A Wing A Prayer Perfumes,Ginger Spice,"citruses, amber, woody notes, ginger"
A Wing A Prayer Perfumes,Lemon Ice,"lemon, sorbet"
A Wing A Prayer Perfumes,Mojitos,"green tea, mint, peru balsam, frangipani, bergamot"
A Wing A Prayer Perfumes,Orange Spice,"orange, vanilla, cloves"
A Wing A Prayer Perfumes,Pink Pamplemousse,"citruses, methyl pamplemousse"
A Wing A Prayer Perfumes,Sabra CoCo,"orange, cacao pod, vanilla"
A Wing A Prayer Perfumes,Tea and Lemon,"tea, lemon"
A Wing A Prayer Perfumes,Dreams and Visions,"cassis, rose, sandalwood, patchouli, mimosa"
A Wing A Prayer Perfumes,Flowers,"gardenia, lime (linden) blossom"
A Wing A Prayer Perfumes,Honeysuckle Rose,"orange blossom, mandarin orange, neroli, rose, honey"
A Wing A Prayer Perfumes,LACE Perfume,"nutmeg, white ginger lily, geranium, lavender, vetiver, labdanum, cloves, lemon, mint, bergamot"
A Wing A Prayer Perfumes,Lavender and Roses,"lavender, rose"
A Wing A Prayer Perfumes,Lavender Fields,"lavender, bergamot, rose"
A Wing A Prayer Perfumes,Summer Afternoon,"rose, fir, vanilla, patchouli, cloves, lavender, rose de mai, palisander rosewood, bergamot, peach, geranium"
A Wing A Prayer Perfumes,Tea Rose,"rose, amber, frangipani, boronia, tea rose"
A Wing A Prayer Perfumes,Bella,"bergamot, lemongrass, rose, geranium, neroli"
A Wing A Prayer Perfumes,Bronte Perfume,"turkish rose, tuberose, lime (linden) blossom, amber, benzoin, musk, ambergris, bergamot, pink pepper"
A Wing A Prayer Perfumes,Caliente Perfume,"bergamot, amber, tonka bean, iris, jasmine, petitgrain"
A Wing A Prayer Perfumes,Epione,"jasmine, rose, frangipani, tonka bean, amber, neroli"
A Wing A Prayer Perfumes,Gemini,"pink grapefruit, white grapefruit, yuzu, bergamot, cypress leaf, fir, lime"
A Wing A Prayer Perfumes,KISMET Perfume,"raspberry, strawberry, jasmine, gardenia, rose, violet, amber, galbanum, cinnamon, lemon"
A Wing A Prayer Perfumes,SAGITTARIUS Cologne,"sandalwood, bergamot, lime, lemon, cashmeran"
A Wing A Prayer Perfumes,Sarah,vanilla
A Wing A Prayer Perfumes,Shalott Rose,"amber, rose, neroli, bergamot, sandalwood, tonka bean, labdanum, iris"
A Wing A Prayer Perfumes,Tallulah B,"rose, lime (linden) blossom, jasmine, sandalwood, musk, vetyver, lily, neroli, vanilla, rose, mandarin orange, cloves, bergamot"
A B R Barlach,Bond James Bond Le Parfum,"floral notes, musk, vanille, citruses"
Abbott New York City,Mojave,"bergamot, black pepper, tobacco leaf, saffron, ginger"
Abbott New York City,Sequoia,"incense, pepper, sandalwood, cedar"
Abbott New York City,Telluride,"suede, cardamom, tonka bean, amber, sandalwood"
Abbott New York City,The Cape,"ginger, spicy notes, patchouli, oakmoss, sandalwood, citruses, mint"
Abercrombie Fitch,AbercrombieHOT,"coconut, cucumber, amber, musk"
Abercrombie Fitch,Batch No 46,"black amber, musk, cedar"
Abercrombie Fitch,Blushed,"rose petals, orange blossom, vanilla, mandarin orange"
Abercrombie Fitch,Classic,"lemon, orange, gardenia"
Abercrombie Fitch,Colden,"pepper, musk, amber, bergamot, ginger"
Abercrombie Fitch,Endeavor,"lemon, leather, bergamot"
Abercrombie Fitch,Ezra,"magnolia, iris, may rose, freesia, jasmine, chinese peony, musk, kashmir wood, black currant, green apple, pimento, bergamot"
Abercrombie Fitch,Fierce,"jasmine, rosemary, rose, lily-of-the-valley, vetiver, musk, oakmoss, brazilian rosewood, petitgrain, cardamom, lemon, orange, fir"
Abercrombie Fitch,Fierce Blue,"sea notes, lavender, white amber, woody notes"
Abercrombie Fitch,Fierce Confidence,"bergamot, white amber, musk, pineapple leaf, basil, mandarin orange, elemi, pear, cardamom, lavender, sage, orris, driftwood"
Abercrombie Fitch,Fierce for Her,"peony, driftwood, blackberry leaf"
Abercrombie Fitch,Fierce Icon,"black pepper, bergamot, leatherwood"
Abercrombie Fitch,Fierce Intense,"watermelon, sea notes, sage, white ginger lily, wheat, cashmeran, musk"
Abercrombie Fitch,First Instinct,"sichuan pepper, violet leaf, citruses, suede, musk, amber, gin, tonic water, melon"
Abercrombie Fitch,Wakely,"citruses, jasmine, sweet notes, amber"
Abercrombie Fitch,Woods,"lavender, exotic spices, musk, vetiver, citruses"
Abercrombie Fitch,Woods 2010 Edition,"lavender, vetiver, musk"
Abercrombie Fitch,8,"lily, melon, amaryllis, violet, freesia, amber, musk, bourbon vanilla, vetiver, clementine, mandarin orange, grapefruit"
Abercrombie Fitch,8 Always Pretty,"magnolia, jasmine, sandalwood"
Abercrombie Fitch,8 Boho Blossom,"peony, vanilla, raspberry"
Abercrombie Fitch,8 Every Moment,"rose, sugar, musk, lemon leaf"
Abercrombie Fitch,8 Fleur de Rouge,"jasmine sambac, black amber, black pepper"
Abercrombie Fitch,8 New York,"pink freesia, peony, musk"
Abercrombie Fitch,8 Pure Summer,"lily, freesia, jasmine, violet, melon, amber, musk, vanilla, vetiver, clementine, grapefruit, mandarin orange, nectarine"
Abercrombie Fitch,8 Simply Sparkling,"sugar, blackberry, jasmine, vanilla"
Abercrombie Fitch,8 Sweet Reveal,"freesia, sandalwood, tangerine"
Abercrombie Fitch,8 Uncovered,"wild berries, vanilla orchid, vanilla, citruses"
Abercrombie Fitch,8 Vintage Luxe,"water lily, black currant, patchouli, acai berry"
Abercrombie Fitch,8 Wild Fields,"wild orchid, gardenia, sandalwood"
Abercrombie Fitch,A F 1892 Cobalt,"vetiver, cedar, oakmoss, citruses"
Abercrombie Fitch,A F 1892 Green,"mint, driftwood, lemon, citruses, yuzu"
Abercrombie Fitch,A F 1892 Red,"ivy, sage, sandalwood, bergamot"
Abercrombie Fitch,A F 1892 Yellow,"pepper, cypress, mint"
Abercrombie Fitch,A F Beacon,"apple, white musk, bergamot"
Abercrombie Fitch,A F Northeast,"green notes, spicy notes"
Abercrombie Fitch,A F Summer,"sage, moss, white pepper"
Abercrombie Fitch,Perfume No 1,"peony, sandalwood, pine, tangerine"
Abercrombie Fitch,Perfume No 1 Undone,"citruses, jasmine, vanilla"
Abercrombie Fitch,Oud Amour,"agarwood (oud), tea, hortensia, musk"
Abercrombie Fitch,Oud Essence,"agarwood (oud), olibanum, myrhh"
Abercrombie Fitch,Oud Nuit,"agarwood (oud), sweet orange, bergamot, leather, amber"
Abinoam,Beleza,"sandalwood, musk, orchid, tahitian vanilla"
Abinoam,Cobice,"patchouli, leather, green apple, bamboo"
Abinoam,Corazon,"moroccan jasmine, amber, pink pepper, floral notes, green tea"
Abinoam,Desejo,"bulgarian light tobacco, cacao pod, amber, pomegranate, violet, cassia, vanilla, peach, ylang-ylang"
Abinoam,Inveja,"musk, gardenia, indian tuberose"
Adam Levine,Adam Levine for Men,"passionfruit, guava, ginger, cedar, sandalwood, amber, mandarin orange, grapefruit, lemongrass, sage, violet leaf"
Adam Levine,Adam Levine for Women,"indian jasmine, australian sandalwood, rose petals, benzoin, vanila, saffron, citruses, marigold, spices"
Adidas,Adidas 3 Extreme Pour Elle,", tonka bean, patchouli, musk, vanilla, magnolia, fruity notes"
Adidas,Adidas 3 Extreme Pour Lui,"teak wood, clary sage, sandalwood, white musk, cinnamon, basil"
Adidas,Adidas 3 Frozen,"sandalwood, bay leaf, yuzu, mint, cedar, cardamom"
Adidas,Adidas 3 Man,"green grass, teak wood, sandalwood, musk, yuzu"
Adidas,Adidas 3 Women,"passionfruit, magnolia, iris, sandalwood, melon, amber, musk, jasmine, rose"
Adidas,Adidas Active Bodies,"sandalwood, freesia, cedar, rose, pine tree needles, labdanum, tonka bean, amber, musk, oakmoss, styrax, aldehydes, lavender, green notes, cassia, caraway, lemon"
Adidas,Adidas Adrenaline,"citruses, herbal notes, spicy notes"
Adidas,Adidas Blue Challenge,"citruses, floral notes, herbal notes"
Adidas,Adidas Classic Blue,"juniper, jasmine, cyclamen, petitgrain, rose, geranium, moss, cedar, vetiver, musk, amber, bergamot, lemon, mandarin orange, lavender"
Adidas,Adidas Dare,"lavender, rum, leather, sandalwood, vanilla, lime, apple, bergamot"
Adidas,Adidas Deep Energy,"violet, cardamom, apple, blue lavender, texas cedar, guaiac wood, patchouli, amber, musk, bergamot, mandarin orange"
Adidas,Adidas Dynamic Pulse,"citruses, mint, cedar, floral notes, fruity notes, woody notes, tonka bean"
Adidas,Adidas Extreme Power,"geranium, coffee, green apple, sandalwood, patchouli, cedar, tonka bean, galbanum, bergamot, lemon"
Adidas,Adidas Floral Dream,"rose, lily, tonka bean, vanille, bergamot"
Adidas,Adidas Fresh Vibes,"freesia, orange blossom, sea notes, raspberry, musk, mandarin orange, melon, cucumber"
Adidas,Adidas Game Spirit,"honeysuckle, magnolia, jasmine, sandalwood, juniper berries, amber, patchouli, musk, vanilla, caramel, vetiver, praline, pineapple, melon, lavender, mint, apple, bergamot"
Adidas,Adidas Get Ready For Her,"lotus, sugar cane, amber, cedar, musk, watermelon, grenadine, orange"
Adidas,Adidas Get Ready For Him,"exotic fruits, clary sage, lavender, patchouli, sandalwood, cedar, mandarin orange, pineapple, sea notes"
Adidas,Adidas Ice Dive,"sandalwood, patchouli, geranium, tonka bean, musk, vanilla, pepper, ambergris, kiwi, lavender, mandarin orange, yuzu, mint, grapefruit, anise, bergamot"
Adidas,Adidas Moves 0 01 Moment of Truth,"coriander, freesia, violet leaf, cardamom, sandalwood, amber, patchouli, white musk, pear leaf, mandarin orange, bergamot leaf"
Adidas,Adidas Moves Pulse Her,"jasmine, freesia, violet, pink tulip, woodsy notes, amber, blood orange, plum, red apple"
Adidas,Adidas Moves Pulse Him,"vetiver, artemisia, violet leaf, virginia cedar, woodsy notes, musk, coriander, yuzu, mint"
Adidas,Adidas Pure Energy,"blue lavender, violet, apple, cardamom, amber, patchouli, texas cedar, musk, guaiac wood, mandarin orange, bergamot"
Adidas,Adidas Sensual Instinct,"peony, iris, rose, peach, caramel, magnolia, black currant"
Adidas,Adidas Sport Fever,"violet, jasmine, geranium, amber, sandalwood, musk, vetiver, pineapple, black currant, melon, lavender, mint, grapefruit, bergamot, lemon"
Adidas,Adidas Sport Field,"ginger, lavender, musk, juniper, jasmine, cedar, geranium, sandalwood, caraway, oakmoss, pineapple, mint, tomato leaf, mandarin orange, green apple, anise, pepper"
Adidas,Adidas Team Force,"juniper, jasmine, sandalwood, amber, musk, cedar, tobacco, aldehydes, orange, pineapple, mandarin orange, grapefruit"
Adidas,Adidas Urban Spice,"artemisia, coriander, cypress, patchouli, mint, vetiver, bergamot, birch, cardamom, lemon"
Adidas,Adidas Victory League,"cinnamon, lavender, musk, vanilla, basil, pear, cedar, bergamot"
Adidas,Adidas Woman Active Start,floral notes
Adidas,Adidas Woman Citrus Energy,"carnation, lavender, jasmine, lily-of-the-valley, rose, sandalwood, tonka bean, musk, cedar, pepper, neroli, lemon"
Adidas,Adventure,"fern, cyclamen, carnation, geranium, pine, clary sage, musk, oak moss, virginia cedar, amber, tonka bean, leather, fir, petitgrain, bergamot, green notes, basil, rosemary, lavender, coriander"
Adidas,Energy Game,"basil, osmanthus, lotus, magnolia, musk, orange, green apple, litchi"
Adidas,Fair Play,"amber, patchouli, lavender, violet, teak wood, cardamom"
Adidas,Fresh Impact,"nutmeg, ginger, patchouli, amber, musk, amalfi lemon, green notes, watermelon"
